Index,Name,Position,Age,Team,Birth Date
493,Ethan Thompson,Guard,26,ORL,1999-05-04
494,Klay Thompson,Guard,35,DAL,1990-02-08
495,Tristan Thompson,Center-Forward,34,CLE,1991-03-13
496,JT Thor,Forward,22,WAS,2002-08-26
497,Matisse Thybulle,Guard-Forward,28,POR,1997-03-04
498,Xavier Tillman,Forward,26,BOS,1999-01-12
499,Drew Timme,Forward,24,BKN,2000-09-09
500,Nae'Qwan Tomlin,Forward,24,CLE,2000-12-19
501,Nikola Topić,Guard,19,OKC,2005-08-10
502,Jacob Toppin,Forward,25,ATL,2000-05-08
503,Obi Toppin,Forward,27,IND,1998-03-04
504,Karl-Anthony Towns,Center-Forward,29,NYK,1995-11-15
505,Armel Traoré,Forward,22,FA,2003-01-23
506,Luke Travers,Forward,23,CLE,2001-09-03
507,Gary Trent Jr.,Guard,26,MIL,1999-01-18
508,Oscar Tshiebwe,Forward-Center,25,UTA,1999-11-27
509,P.J. Tucker,Forward,40,NYK,1985-05-05
510,Myles Turner,Center-Forward,29,IND,1996-03-24
511,Hunter Tyson,Forward,24,DEN,2000-06-13
512,Jaylon Tyson,Guard-Forward,22,CLE,2002-12-02
513,Stanley Umude,Guard,26,MIL,1999-04-12
514,Jonas Valančiūnas,Center,33,SAC,1992-05-06
515,Fred VanVleet,Guard,31,HOU,1994-02-25
516,Jarred Vanderbilt,Forward,26,LAL,1999-04-03
517,Devin Vassell,Guard-Forward,24,SAS,2000-08-23
518,Gabe Vincent,Guard,28,LAL,1996-06-14
519,Tristan Vukcevic,Forward,22,WAS,2003-03-11
520,Nikola Vučević,Center,34,CHI,1990-10-24
521,Dean Wade,Forward-Center,28,CLE,1996-11-20
522,Franz Wagner,Forward,23,ORL,2001-08-27
523,Moritz Wagner,Forward-Center,28,ORL,1997-04-26
524,Jabari Walker,Forward,22,POR,2002-07-30
525,Jarace Walker,Forward,21,IND,2003-09-04
526,Lonnie Walker IV,Guard-Forward,26,PHI,1998-12-14
527,Cason Wallace,Guard,21,OKC,2003-11-07
528,Keaton Wallace,Guard,26,ATL,1999-02-26
529,Jordan Walsh,Guard,21,BOS,2004-03-03
530,Ja'Kobe Walter,Guard,20,TOR,2004-09-04
531,Kel'el Ware,Center,21,MIA,2004-04-20
532,P.J. Washington,Forward,26,DAL,1998-08-23
533,TyTy Washington Jr.,Guard,23,PHX,2001-11-15
534,Lindy Waters III,Forward,27,DET,1997-07-28
535,Trendon Watford,Guard-Forward,24,BKN,2000-11-09
536,Anton Watson,Forward,24,NYK,2000-10-06
537,Peyton Watson,Guard,22,DEN,2002-09-11
538,Jaylen Wells,Forward,21,MEM,2003-08-26
539,Victor Wembanyama,Forward-Center,21,SAS,2004-01-04
540,Blake Wesley,Guard,22,SAS,2003-03-16
541,Russell Westbrook,Guard,36,DEN,1988-11-12
542,Phillip Wheeler,Forward,23,FA,2002-04-23
543,Coby White,Guard,25,CHI,2000-02-16
544,Derrick White,Guard,30,BOS,1994-07-02
545,Dariq Whitehead,Guard-Forward,20,BKN,2004-08-01
546,Cam Whitmore,Forward,20,HOU,2004-07-08
547,Aaron Wiggins,Guard,26,OKC,1999-01-02
548,Andrew Wiggins,Forward,30,MIA,1995-02-23
549,Alondes Williams,Guard,25,FA,1999-06-19
550,Brandon Williams,Guard,25,DAL,1999-11-22
551,Cody Williams,Forward,20,UTA,2004-11-20
552,Grant Williams,Forward,26,CHA,1998-11-30
553,Jalen Williams,Guard-Forward,24,OKC,2001-04-14
554,Jaylin Williams,Forward,22,OKC,2002-06-29
555,Kenrich Williams,Guard-Forward,30,OKC,1994-12-02
556,Mark Williams,Center,23,CHA,2001-12-16
557,Nate Williams,Guard,26,HOU,1999-02-12
558,Patrick Williams,Forward,23,CHI,2001-08-26
559,Ziaire Williams,Forward,23,BKN,2001-09-12
560,Robert Williams III,Center-Forward,27,POR,1997-10-17
561,Vince Williams Jr.,Guard,24,MEM,2000-08-30
562,Zion Williamson,Forward,24,NOP,2000-07-06
563,Jalen Wilson,Forward,24,BKN,2000-11-04
564,James Wiseman,Center,24,FA,2001-03-31
565,Isaiah Wong,Guard,24,FA,2001-01-28
566,Delon Wright,Guard,33,NYK,1992-04-26
567,Guerschon Yabusele,Forward,29,PHI,1995-12-17
568,Cui Yongxi,Forward,22,FA,2003-05-28
569,Jahmir Young,Guard,24,CHI,2000-10-07
570,Trae Young,Guard,26,ATL,1998-09-19
571,Ivica Zubac,Center,28,LAC,1997-03-18
572,Tristan da Silva,Forward,24,ORL,2001-05-15
573,Vlatko Čančar,Forward,28,DEN,1997-04-10
574,Dario Šarić,Forward-Center,31,DEN,1994-04-08
